event_idx,time_hours,holding_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,1.042019645455647,0,Healthy,0,keep_running,1,Degraded,1.2,66.35339067692058,0,0,80.67641712523185,616.2640062956403,0
1,1.042019645455647,4.6246817108628235,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,72.21480796951353,1,0,80.52706694034411,590.4266585007439,1
2,5.6667013563184705,0.1161375142354557,2,MaintenanceRequired,1,power_cap,0,Healthy,0.466087821048326,82.33912178951674,4,0,68.43663869171651,684.9481843394863,1
3,5.782838870553926,0.2974561773359101,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,62.46096745345708,0,0,94.00910120583758,613.8060301138248,0
4,6.080295047889836,1.2351143479089302,3,FailedRecoverable,3,reboot,2,MaintenanceRequired,0.06,64.47939293845056,8,31,56.12381927616061,511.50411798688026,0
5,7.315409395798766,1.2323682199942725,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,71.3725774440386,2,0,72.89950852843754,649.7773996996076,0
6,8.547777615793038,0.9095180358991928,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,66.14365188877316,0,0,80.57184453586505,563.1882761833649,0
7,9.457295651692231,0.27008746966732583,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,77.52153333366947,3,48,56.02787185344723,661.4121135368989,1
8,9.727383121359557,12.410314233328414,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,60.81186329272386,0,0,82.6612311472653,627.3528917140977,0
9,22.137697354687973,2.218086021544569,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,53.74614343391624,6,48,27.042175081571475,93.50962412455331,0
10,24.35578337623254,1.8132558396386242,0,Healthy,0,keep_running,1,Degraded,1.2,63.663608686480416,0,0,85.56110955358761,594.4376469493276,0
11,26.169039215871166,6.472865413909123,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,70.8092941317451,0,0,90.14550885407749,578.6283166708919,0
12,32.641904629780285,0.819074132379338,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8534908554629566,78.46509144537043,5,0,81.97974352958087,574.9295133842305,2
13,33.46097876215962,8.450039505764781,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,63.759307553964064,0,0,91.5240646263655,647.9271392852644,0
14,41.911018267924405,1.0839247468438755,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,73.7674905901425,3,0,68.0375674628731,588.0866823646263,1
15,42.99494301476828,4.977678666679103,0,Healthy,0,keep_running,1,Degraded,1.2,68.30657758795651,0,0,88.80696841181984,574.3697541395289,0
16,47.972621681447386,0.9137390910273986,1,Degraded,0,keep_running,3,FailedRecoverable,-2.64,71.1130062395439,1,0,75.63032209097656,660.1914584427705,0
17,48.88636077247479,0.40310467503157316,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,67.32718297359317,9,79,37.74105480661562,297.3504839849491,1
18,49.28946544750636,7.035999605233014,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,63.382460874420616,0,0,88.40997625638252,669.975914906394,0
19,56.325465052739375,4.22969212530469,2,MaintenanceRequired,1,power_cap,3,FailedRecoverable,-2.94,74.43332698351729,4,0,72.63177140642611,611.0772010464325,1
20,60.55515717804406,1.585146886974939,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,65.53758067872889,11,0,19.11262037731588,180.18359239778275,0
21,62.140304065019,4.398336633664652,0,Healthy,0,keep_running,1,Degraded,1.2,63.46881030777179,0,0,92.91134011582221,649.0970234050535,0
22,66.53864069868365,4.914501595061602,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,68.6229104099058,2,0,89.26001099866991,553.3768280844395,0
23,71.45314229374526,0.056175054834402105,2,MaintenanceRequired,1,power_cap,0,Healthy,0.7207333963970057,79.79266603602994,3,0,61.87441136917554,634.280143586463,1
24,71.50931734857966,21.70906554128792,0,Healthy,0,keep_running,1,Degraded,1.2,69.58100068179301,0,0,88.89255505008747,620.9154263620051,0
25,93.21838288986757,3.428939811468298,1,Degraded,0,keep_running,3,FailedRecoverable,-2.64,68.91771024515678,3,0,78.88166904570312,494.10014433645176,0
26,96.64732270133587,4.143343338483739,3,FailedRecoverable,3,reboot,2,MaintenanceRequired,0.06,57.51535475935653,7,31,33.92889886257779,279.93120081251755,0
27,100.7906660398196,1.654841135213524,2,MaintenanceRequired,1,power_cap,3,FailedRecoverable,-3.494389562118135,83.54389562118135,4,0,60.641805750827615,563.8062699551755,0
